Questions,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,,,,,,,,,,,
"If you had to pick a non-so-optimal trait for a specfic profession, which would you rather be?",,A blind detective,,,,,,,,,,,,,,,,,
Your kidnapper says he will let you go if you let him keep a part of you. Which of these will you leave behind?,Right arm,Right leg,Left arm,Left leg,Ears,Eyes,Nose,All your teeth,,,,,,,,,,,
"If you had to help them, which of these people would you choose?",Stalin,Hitler,Trump,Putin,Tito,Genghis Khan,Jeffrey Epstein,Lawrences Mom,,,,,,,,,,,
"If you had to bring someone back from the dead, which would you choose?",,,,,,,,,,,,,,,,,,,
Which actor would you trust with your drink in the club (or your girls')?,Keanu Reeves,Steve Carell,Morgan Freeman,Samuel L. Jackson,Ryan Reynolds,Danny Devito,Owen Wilson,Tom Holland,Paul Rudd,Jackie Chan,,,,,,,,,
Which actor would you most want in your friend group?,Keanu Reeves,Steve Carell,Morgan Freeman,Samuel L. Jackson,Ryan Reynolds,Danny Devito,Owen Wilson,Tom Holland,Paul Rudd,Jackie Chan,,,,,,,,,
Which of these people would you choose as your best friend?,Martin Luther King Jr,Jesus ❤️,Mahatma Gandhi,Albert Einstein,Mr Beast,,,,,,,,,,,,,,
"If you could choose any of these vacation homes to get for free, which would you choose?",Cabin in the woods,Seaside villa,,Planinarska kuca,,,,,,,,,,,,,,,
"If you could bring someone back from the dead, who would you choose?",John Lennon,Elvis Presley,Steve Jobs,Princess Diana,Albert Einstein,Martin Luther King Jr.,Freddie Mercury,Walt Disney,Bob Marley,Robin Williams,Nelson Mandela,Mother Teresa,David Bowie,Steven Irwin,Judy Garland,Ray Charles,Leonardo da Vinci,Kurt Cobain,Frank Sinatra
