Questions,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,,,,,,,,,,,,,
"If you could have a supernatural ability, which of thse would you choose?",Telekinesis,Invisibility,Shapeshifting,Time Travel,Teleportation,Flight,Elemental Manipulation,Clairvoyance,,,,,,,,,,,,,
"You're a character in a fairy tale, which enchanted object would you possess?",Flying carpet,Wand,Cloak of invisibility,Healing potion,Magic Lamp,Never-ending bag,Teleporting cupboard,Time-turner,,,,,,,,,,,,,
Which every day object would you want to enchant?,Watch,Mirror,,,,,,,,,,,,,,,,,,,
"If you could wield any legendary weapon, which would it be?",Mjolnir (Thor's Hammer),Lightsaber,The Elder Wand,The Infinity Gauntlet,The One Ring,Excalibur,Heartseeker Bow,Poseidon's Trident,,,,,,,,,,,,,
"If you would live in a fantasy world, which landscape would you want to call home?",Enchanted Forest,Floating Island,Underwater Kingdom,Volcanic Wasteland,Cloud City,Desert Oasis,Crystal Caverns,Celestial Realm,,,,,,,,,,,,,
Which of these animals would you rather wish to have control over?,,,,,,,,,,,,,,,,,,,,,
"If you could have a superpower to help with daily tasks, what would you pick?",Time manipulation,Multitasking mastery,Super speed,Perfect Memory,Cloning ability,Teleportation,,,,,,,,,,,,,,,
Which element is crucial for your ideal workspace?,Natural light,Lush plants,Organizational compartments,Comfortable Chair,Relaxing Background Music,,,,,,,,,,,,,,,,
"If you had to pick a non-so-optimal trait for a specfic profession, which would you rather be?",A blind detective,,,,,,,,,,,,,,,,,,,,
"If you could master any skill overnight, which would you choose?",Speak mutiple languages fluently,Play a musical instrument like a virtuoso,Develop expert-level skill in a sport,Excel in public speaking and charisma,Become a tech wiz great at coding,Become a gourmet chef capable of multiple cuisines,,,,,,,,,,,,,,,
"You have to make one bodily sacrifice, which would you rather lose?",All fingers,Both hands,Both feet,Tongue,Eyes,Nose,,,,,,,,,,,,,,,
"If you could travel to any era for a day, where would you go?","Ancient Egypt, during the construction of the Pyramids","The Roaring Twenties, the era of flappers and jazz",Ancient Rome,,,,,,,,,,,,,,,,,,
Which fictional world would you most like to live in?,Hogwarts from Harry Potter,Universe of Star Trek,The whimsical land of Narnia,Panem from The Hunger Games,Middle-earth from The Lord of the Rings,The thrilling universe of Marvel superheroes,The post-apocalyptic world of Mad Max,In the arid desert of Arrakis of Dune,,,,,,,,,,,,,
What would be a fun night out for you?,,,,,,,,,,,,,,,,,,,,,
"If you had to help them, which of these people would you choose?",Hitler,Stalin,Putin,,,,,,,,,,,,,,,,,,
"If you had to bring someone back from the dead, which would you choose?",,,,,,,,,,,,,,,,,,,,,
What movie franchise do you think should be revived?,,,,,,,,,,,,,,,,,,,,,
Rank these 2000s pop songs,Toxic - Britney Spears,Bye Bye Bye - NSYNC,Lose Yourself - Eminem,Since U Been Gone - Kelly Clarkson,Complicated - Avril Lavigne,Umbrella - Rihanna,Hey Ya! - Outkast,,Boulevard of Broken Dreams - Green Day,Viva La Vida - Coldplay,Hollaback Girl - Gwen Stefani,It Wasn't Me - Shaggy,Crank That (Soulja Boy) - Soulja Boy,"Gold Digger - Kanye West, Jamie Foxx",Hips Don't Lie - Shakira,In Da Club - 50 Cent,Cry Me a River - Justin Timberlake,Seven Nation Army - The White Stripes,So What - P!nk,Yellow - Coldplay,She Bangs - Ricky Martin
Rank these late '90s songs,No Scrubs - TLC,Wannabe - Spice Girls,All The Small Things - Blink-182,...Baby One More Time - Britney Spears,Maria Maria - Santana,Gangsta's Paradise - Coolio,Mambo No. 5 (A Little Bit Of) - Lou Bega,Torn - Natalie Imbruglia,Kiss Me - Sixpence None The Richer,Genie in a Bottle - Christina Aguilera,,,,,,,,,,,
Rank these '80s songs,Livin' On A Prayer - Bon Jovi,I'm Gonna Be (500 Miles) - The Proclaimers,Don't Stop Believing - Journey,Uptown Girl - Billy Joel,Total Eclipse of the Heart - Bonnie Tyler,Dancing in the Dark - Bruce Springsteen,We Didn't Start the Fire - Bruce Springsteen,Summer of '69 - Bryan Adams,Africa - TOTO,Take On Me - a-ha,Every Breath You Take - The Police,Wake Me Up Before You Go-Go - Wham!,,,,,,,,,
When would you most like your bday to be,Christmas,NYE,4th of July,Halloween,Thanksgiving (imagine it doesnt change hahaha),Anytime during the Summer,,,,,,,,,,,,,,,
What cartoon food would you choose as the only food u can eat for the rest of ur life,Kung Fu Pandas Noodle Soup,Popeyes Spinach,Ratatouille,Snooby Snacks,Krabby Patty,,,,,,,,,,,,,,,,
Which actor would you trust with your drink in the club (or your girls'),Steve Carell,Keanu Reeves,Samuel L. Jackson,Hugh Jackson,Ryan Reynolds,Danny Devito,,,,,,,,,,,,,,,
Which actor would you most want in your friend group,Steve Carell,Keanu Reeves,Samuel L. Jackson,Hugh Jackson,Ryan Reynolds,Danny Devito,,,,,,,,,,,,,,,
Rate these months of the year,December,July,June,October,May,November,August,April,,,,,,,,,,,,,
